Zeit;Kanal A
(ms);(mV)

-22,58399911;3,73339100
-22,57899911;3,92039800
-22,57399911;4,29379900
-22,56899911;3,92039800
-22,56399911;4,66720000
-22,55899911;4,66720000
-22,55399911;3,73339100
-22,54899911;3,73339100
-22,54399911;2,98658900
-22,53899911;3,35999000
-22,53399911;2,80019700
-22,52899911;2,61318900
-22,52399911;0,18639270
-22,51899911;2,42679600
-22,51399911;1,49298700
-22,50899911;1,11958700
-22,50399911;1,30659400
-22,49899912;2,80019700
-22,49399912;1,86638800
-22,48899912;2,61318900
-22,48399912;2,61318900
-22,47899912;2,05339600
-22,47399912;3,35999000
-22,46899912;3,92039800
-22,46399912;3,92039800
-22,45899912;3,73339100
-22,45399912;4,29379900
-22,44899912;3,73339100
-22,44399912;3,17359700
-22,43899912;2,23978800
-22,43399912;2,80019700
-22,42899912;1,67999500
-22,42399912;1,11958700
-22,41899912;1,49298700
-22,41399912;1,11958700
-22,40899912;0,93319390
-22,40399912;1,30659400
-22,39899912;0,55979330
-22,39399912;0,18639270
-22,38899912;-0,55979330
-22,38399912;-0,37278540
-22,37899912;-0,74618600
-22,37399912;-0,74618600
-22,36899912;-1,11958700
-22,36399912;-1,11958700
-22,35899912;0,18639270
-22,35399912;-0,37278540
-22,34899912;-0,74618600
-22,34399912;-0,55979330
-22,33899912;-0,37278540
-22,33399912;0,18639270
-22,32899912;-0,18639270
-22,32399912;-0,93319390
-22,31899912;0,00000000
-22,31399912;1,11958700
-22,30899912;2,05339600
-22,30399912;1,11958700
-22,29899912;1,49298700
-22,29399912;1,86638800
-22,28899912;1,11958700
-22,28399912;1,49298700
-22,27899912;0,18639270
-22,27399912;0,37278540
-22,26899912;0,37278540
-22,26399912;0,93319390
-22,25899912;-0,18639270
-22,25399912;-0,37278540
-22,24899912;-0,37278540
-22,24399912;-0,55979330
-22,23899912;-0,93319390
-22,23399912;-1,30659400
-22,22899912;-1,11958700
-22,22399912;-1,67999500
-22,21899912;-2,23978800
-22,21399912;-2,05339600
-22,20899912;-1,67999500
-22,20399912;-2,98658900
-22,19899912;-1,67999500
-22,19399912;-1,11958700
-22,18899912;-1,67999500
-22,18399912;-1,86638800
-22,17899912;-1,67999500
-22,17399912;-1,49298700
-22,16899912;-1,11958700
-22,16399912;-1,11958700
-22,15899912;-1,11958700
-22,15399912;-2,05339600
-22,14899912;-1,86638800
-22,14399912;-1,30659400
-22,13899912;-0,74618600
-22,13399912;-1,67999500
-22,12899912;-2,61318900
-22,12399912;-2,80019700
-22,11899912;-3,73339100
-22,11399912;-2,98658900
-22,10899912;-4,10679100
-22,10399913;-3,54699800
-22,09899913;-3,35999000
-22,09399913;-4,10679100
-22,08899913;-4,48019200
-22,08399913;-4,48019200
-22,07899913;-3,17359700
-22,07399913;-3,92039800
-22,06899913;-3,54699800
-22,06399913;-3,17359700
-22,05899913;-2,42679600
-22,05399913;-2,42679600
-22,04899913;-2,61318900
-22,04399913;-2,61318900
-22,03899913;-1,11958700
-22,03399913;-1,86638800
-22,02899913;-2,05339600
-22,02399913;0,18639270
-22,01899913;-2,23978800
-22,01399913;-2,23978800
-22,00899913;-2,23978800
-22,00399913;-2,61318900
-21,99899913;-2,80019700
-21,99399913;-3,17359700
-21,98899913;-3,35999000
-21,98399913;-4,66720000
-21,97899913;-3,92039800
-21,97399913;-3,54699800
-21,96899913;-2,23978800
-21,96399913;-2,80019700
-21,95899913;-2,23978800
-21,95399913;-3,17359700
